record_id,country,iso3_code,region,income_group,year,quarter,quarter_label,industry_sector,sector_automation_risk_score,gdp_per_capita_usd,ai_adoption_index,pct_sector_workforce_displaced,pct_sector_workforce_new_roles_created,net_workforce_change_pct,ai_cited_layoff_announcements,ai_skill_wage_premium_pct,pct_workforce_female,pct_displaced_roles_female,reskilling_programs_count,govt_ai_policy_score_1_to_10,ai_tool_adoption_pct,data_source_notes
1,United States,USA,North America,High Income,2020,1,2020-Q1,Technology & Software,0.382,63514,0.83,0.0406,0.0348,-0.0058,32,0.311,0.28,0.275,52,6.4,0.28,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
12,United States,USA,North America,High Income,2020,2,2020-Q2,Finance & Banking,0.638,63263,0.82,0.0729,0.0668,-0.0061,48,0.305,0.48,0.513,47,6.9,0.508,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
13,United States,USA,North America,High Income,2020,2,2020-Q2,Healthcare & Life Sciences,0.205,63263,0.83,0.0176,0.0118,-0.0058,3,0.271,0.72,0.802,52,6.7,0.15,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
14,United States,USA,North America,High Income,2020,2,2020-Q2,Manufacturing & Industry,0.756,63263,0.848,0.0712,0.053,-0.0182,35,0.262,0.29,0.317,49,6.8,0.64,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
15,United States,USA,North America,High Income,2020,2,2020-Q2,Retail & E-Commerce,0.75,63263,0.825,0.0746,0.0463,-0.0283,47,0.367,0.54,0.54,49,6.0,0.603,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
16,United States,USA,North America,High Income,2020,2,2020-Q2,Education & Research,0.278,63263,0.814,0.022,0.0138,-0.0082,5,0.317,0.58,0.583,46,6.5,0.231,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
17,United States,USA,North America,High Income,2020,2,2020-Q2,Transportation & Logistics,0.715,63263,0.83,0.0825,0.0459,-0.0366,33,0.372,0.22,0.22,48,7.1,0.58,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
18,United States,USA,North America,High Income,2020,2,2020-Q2,Media & Communications,0.557,63263,0.806,0.0624,0.0381,-0.0243,20,0.31,0.46,0.477,43,5.9,0.474,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
19,United States,USA,North America,High Income,2020,2,2020-Q2,Administrative & Clerical,0.797,63263,0.832,0.0932,0.0632,-0.03,122,0.307,0.79,0.95,40,6.1,0.599,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
20,United States,USA,North America,High Income,2020,2,2020-Q2,Energy & Utilities,0.405,63263,0.827,0.0428,0.0391,-0.0037,17,0.375,0.26,0.295,36,7.0,0.436,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
21,United States,USA,North America,High Income,2020,3,2020-Q3,Technology & Software,0.415,63184,0.841,0.0459,0.0324,-0.0135,24,0.34,0.28,0.317,42,6.4,0.314,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
22,United States,USA,North America,High Income,2020,3,2020-Q3,Finance & Banking,0.605,63184,0.807,0.078,0.0605,-0.0175,76,0.337,0.48,0.488,38,7.0,0.501,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
23,United States,USA,North America,High Income,2020,3,2020-Q3,Healthcare & Life Sciences,0.226,63184,0.834,0.0241,0.0181,-0.006,9,0.298,0.72,0.812,38,6.7,0.19,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
24,United States,USA,North America,High Income,2020,3,2020-Q3,Manufacturing & Industry,0.753,63184,0.83,0.0749,0.0693,-0.0056,48,0.288,0.29,0.31,46,6.0,0.62,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
25,United States,USA,North America,High Income,2020,3,2020-Q3,Retail & E-Commerce,0.721,63184,0.841,0.0901,0.057,-0.0331,49,0.302,0.54,0.549,48,6.2,0.481,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
26,United States,USA,North America,High Income,2020,3,2020-Q3,Education & Research,0.242,63184,0.792,0.0319,0.0178,-0.0141,5,0.326,0.58,0.651,40,7.1,0.203,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
27,United States,USA,North America,High Income,2020,3,2020-Q3,Transportation & Logistics,0.665,63184,0.846,0.084,0.0672,-0.0168,68,0.359,0.22,0.213,47,6.6,0.613,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
28,United States,USA,North America,High Income,2020,3,2020-Q3,Media & Communications,0.537,63184,0.84,0.0517,0.0296,-0.0221,38,0.304,0.46,0.491,40,6.4,0.487,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
29,United States,USA,North America,High Income,2020,3,2020-Q3,Administrative & Clerical,0.791,63184,0.833,0.1193,0.1081,-0.0112,73,0.343,0.79,0.95,43,7.2,0.694,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
30,United States,USA,North America,High Income,2020,3,2020-Q3,Energy & Utilities,0.436,63184,0.832,0.0476,0.0342,-0.0134,12,0.357,0.26,0.29,37,6.9,0.425,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
31,United States,USA,North America,High Income,2020,4,2020-Q4,Technology & Software,0.395,61652,0.844,0.0506,0.047,-0.0036,52,0.324,0.28,0.313,51,6.6,0.27,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
32,United States,USA,North America,High Income,2020,4,2020-Q4,Finance & Banking,0.605,61652,0.845,0.0691,0.0556,-0.0135,55,0.25,0.48,0.533,52,7.2,0.594,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
33,United States,USA,North America,High Income,2020,4,2020-Q4,Healthcare & Life Sciences,0.255,61652,0.86,0.0237,0.0224,-0.0013,10,0.323,0.72,0.794,51,6.4,0.16,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
34,United States,USA,North America,High Income,2020,4,2020-Q4,Manufacturing & Industry,0.744,61652,0.857,0.0854,0.0762,-0.0092,68,0.272,0.29,0.319,41,6.5,0.556,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
35,United States,USA,North America,High Income,2020,4,2020-Q4,Retail & E-Commerce,0.679,61652,0.829,0.1022,0.0665,-0.0357,65,0.36,0.54,0.611,43,5.6,0.484,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
36,United States,USA,North America,High Income,2020,4,2020-Q4,Education & Research,0.295,61652,0.848,0.0356,0.0229,-0.0127,5,0.309,0.58,0.631,43,6.3,0.23,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
37,United States,USA,North America,High Income,2020,4,2020-Q4,Transportation & Logistics,0.648,61652,0.829,0.0723,0.061,-0.0113,32,0.333,0.22,0.232,52,6.4,0.602,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
38,United States,USA,North America,High Income,2020,4,2020-Q4,Media & Communications,0.566,61652,0.837,0.0684,0.0461,-0.0223,34,0.318,0.46,0.5,51,6.4,0.443,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
39,United States,USA,North America,High Income,2020,4,2020-Q4,Administrative & Clerical,0.779,61652,0.832,0.0919,0.0656,-0.0263,164,0.322,0.79,0.95,48,6.2,0.67,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
40,United States,USA,North America,High Income,2020,4,2020-Q4,Energy & Utilities,0.472,61652,0.85,0.0487,0.0383,-0.0104,25,0.313,0.26,0.27,44,6.6,0.444,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
41,United States,USA,North America,High Income,2021,1,2021-Q1,Technology & Software,0.367,63296,0.849,0.0583,0.0472,-0.0111,41,0.355,0.28,0.306,56,6.5,0.284,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
42,United States,USA,North America,High Income,2021,1,2021-Q1,Finance & Banking,0.639,63296,0.856,0.0757,0.0687,-0.007,56,0.349,0.48,0.514,48,6.9,0.521,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
43,United States,USA,North America,High Income,2021,1,2021-Q1,Healthcare & Life Sciences,0.265,63296,0.847,0.0211,0.0182,-0.0029,11,0.388,0.72,0.747,42,7.1,0.188,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
44,United States,USA,North America,High Income,2021,1,2021-Q1,Manufacturing & Industry,0.712,63296,0.855,0.1148,0.0839,-0.0309,96,0.353,0.29,0.328,53,5.9,0.732,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
45,United States,USA,North America,High Income,2021,1,2021-Q1,Retail & E-Commerce,0.692,63296,0.832,0.091,0.0818,-0.0092,68,0.309,0.54,0.589,58,6.4,0.516,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
46,United States,USA,North America,High Income,2021,1,2021-Q1,Education & Research,0.287,63296,0.833,0.0313,0.0253,-0.006,7,0.301,0.58,0.588,41,6.6,0.229,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
47,United States,USA,North America,High Income,2021,1,2021-Q1,Transportation & Logistics,0.687,63296,0.852,0.0934,0.0787,-0.0147,40,0.362,0.22,0.233,48,6.4,0.561,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
48,United States,USA,North America,High Income,2021,1,2021-Q1,Media & Communications,0.577,63296,0.86,0.0747,0.068,-0.0067,56,0.325,0.46,0.445,47,6.3,0.54,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
49,United States,USA,North America,High Income,2021,1,2021-Q1,Administrative & Clerical,0.792,63296,0.859,0.1288,0.0993,-0.0295,150,0.338,0.79,0.95,44,6.6,0.634,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
50,United States,USA,North America,High Income,2021,1,2021-Q1,Energy & Utilities,0.466,63296,0.841,0.0452,0.0332,-0.012,17,0.315,0.26,0.252,52,6.3,0.307,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
51,United States,USA,North America,High Income,2021,2,2021-Q2,Technology & Software,0.403,63587,0.861,0.0505,0.0351,-0.0154,40,0.372,0.28,0.306,46,6.2,0.371,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
52,United States,USA,North America,High Income,2021,2,2021-Q2,Finance & Banking,0.582,63587,0.853,0.0645,0.0495,-0.015,131,0.358,0.48,0.516,47,6.8,0.573,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
53,United States,USA,North America,High Income,2021,2,2021-Q2,Healthcare & Life Sciences,0.25,63587,0.86,0.0226,0.0134,-0.0092,7,0.341,0.72,0.764,53,6.8,0.209,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
54,United States,USA,North America,High Income,2021,2,2021-Q2,Manufacturing & Industry,0.743,63587,0.861,0.1169,0.0674,-0.0495,107,0.383,0.29,0.285,59,7.0,0.682,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
55,United States,USA,North America,High Income,2021,2,2021-Q2,Retail & E-Commerce,0.651,63587,0.864,0.1073,0.06,-0.0473,86,0.34,0.54,0.531,52,6.8,0.62,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
56,United States,USA,North America,High Income,2021,2,2021-Q2,Education & Research,0.303,63587,0.878,0.0381,0.026,-0.0121,10,0.411,0.58,0.61,47,6.3,0.268,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
57,United States,USA,North America,High Income,2021,2,2021-Q2,Transportation & Logistics,0.677,63587,0.877,0.0986,0.0885,-0.0101,81,0.398,0.22,0.24,49,7.0,0.67,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
58,United States,USA,North America,High Income,2021,2,2021-Q2,Media & Communications,0.571,63587,0.839,0.0691,0.059,-0.0101,40,0.334,0.46,0.509,57,7.4,0.414,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
59,United States,USA,North America,High Income,2021,2,2021-Q2,Administrative & Clerical,0.773,63587,0.837,0.1139,0.0613,-0.0526,190,0.35,0.79,0.95,43,6.8,0.762,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
